username,followers_count,following_count,total_posts,avg_likes,avg_comments,engagement_rate,growth_rate
user_94,316139,2881,1547,11745,1417,0.0416,13.5
user_95,172829,3808,1687,6276,544,0.0395,14.53
user_96,272836,2562,56,14952,319,0.056,6.45
user_97,439974,2201,2711,19638,2112,0.0494,1.98
user_98,990913,3725,2016,68808,5166,0.0747,1.29
user_99,203283,2795,1445,14479,1251,0.0774,1.79
user_100,197769,3916,2832,4338,207,0.023,10.05
user_101,562353,3814,2773,10986,1007,0.0213,-1.31
user_102,224165,2272,2612,12133,1787,0.0621,-1.13
user_103,624587,2842,1510,19415,573,0.032,8.34
user_104,951110,1747,1244,10747,611,0.0119,8.91
user_105,536822,3512,2607,38761,1999,0.0759,9.31
user_106,488879,4113,2042,12653,661,0.0272,4.32
user_107,565685,1574,2461,42454,2939,0.0802,11.7
user_108,783038,4810,852,47154,5958,0.0678,7.07
user_109,354531,82,616,22472,3116,0.0722,-0.21
user_110,264160,4075,2460,6366,294,0.0252,11.55
user_111,580879,2616,719,15331,1388,0.0288,14.2
user_112,221884,2853,1666,10315,1060,0.0513,-0.98
user_113,24247,3946,2038,534,46,0.0239,4.65
user_114,25300,3759,460,793,60,0.0337,6.29
user_115,468281,769,1880,15220,684,0.034,0.49
user_116,608086,4629,1660,12875,1074,0.0229,12.75
user_117,534556,1022,1549,13023,939,0.0261,2.83
user_118,349951,3768,2985,22816,2816,0.0732,11.31
user_119,275329,4452,2387,5975,712,0.0243,9.41
user_120,720064,4602,2620,8635,323,0.0124,8.17
user_121,743139,2257,1114,40170,1265,0.0558,1.27
user_122,433315,4476,587,33936,4685,0.0891,1.75
user_123,927075,4370,2986,30764,2756,0.0362,-1.2
user_124,517588,3080,255,9474,1245,0.0207,2.09
user_125,237584,3625,1324,11861,326,0.0513,3.87
user_126,563332,3166,1205,41373,3659,0.0799,12.16
user_127,838646,3335,1052,54414,4904,0.0707,4.23
user_128,979732,693,2127,52490,6922,0.0606,10.83
user_129,377896,4761,2960,12113,395,0.0331,5.47
user_130,49984,244,1860,2395,122,0.0504,11.34
user_131,303918,4046,244,4980,362,0.0176,14.6
user_132,265712,538,1862,15285,2026,0.0651,2.08
user_133,121151,2254,2767,7360,1045,0.0694,12.66
user_134,456808,2707,601,35426,5280,0.0891,8.57
user_135,986067,3326,188,27834,4027,0.0323,11.89
user_136,134767,1152,1485,1521,31,0.0115,9.08
user_137,649663,1291,33,31308,820,0.0495,5.21
user_138,704550,565,2231,41903,1642,0.0618,1.88
user_139,137330,442,1463,8971,586,0.0696,-0.81
user_140,481754,680,2824,11350,1451,0.0266,7.1
user_141,302648,3766,1890,8571,1166,0.0322,14.84
user_142,689519,1897,1563,31636,1401,0.0479,10.55
user_143,14986,2705,1709,496,49,0.0364,3.56
user_144,587146,1029,1591,41238,5742,0.08,12.06
user_145,130312,4579,1071,5624,451,0.0466,11.07
user_146,13666,3452,1751,901,30,0.0681,2.79
user_147,301804,3921,465,15284,1215,0.0547,-1.76
user_148,135633,327,735,8696,598,0.0685,0.01
user_149,289998,282,838,9653,917,0.0364,12.91
user_150,851937,1602,2171,58101,4475,0.0735,12.22
user_151,629776,3320,2809,18402,409,0.0299,3.02
user_152,708611,2459,445,34174,5099,0.0554,2.85
user_153,285806,3562,1144,7139,647,0.0272,11.48
user_154,795824,75,1584,34448,2809,0.0468,13.94
user_155,31535,510,2706,1017,146,0.0369,11.25
user_156,997107,3814,869,28586,1150,0.0298,8.29
user_157,376713,3481,1565,29266,1305,0.0812,2.13
user_158,839688,3533,1149,17805,2226,0.0239,6.94
user_159,352279,2044,1722,22937,1236,0.0686,1.97
user_160,914910,540,2021,72178,8942,0.0887,11.74
user_161,822654,1122,2836,9372,518,0.012,4.58
user_162,602661,3223,296,35515,863,0.0604,12.17
user_163,998079,265,1826,27650,2411,0.0301,4.49
user_164,648972,1773,2967,8329,379,0.0134,12.01
user_165,490570,1642,2255,18740,2221,0.0427,3.67
user_166,457551,2656,1959,34529,3568,0.0833,5.48
user_167,274109,208,2172,2966,415,0.0123,8.46
user_168,25538,4831,565,1306,159,0.0574,-0.81
user_169,895498,3363,2447,40384,1756,0.0471,14.12
user_170,202664,2891,129,14416,1787,0.08,7.75
user_171,492234,1826,564,7816,808,0.0175,6.63
user_172,900684,2102,2421,51975,5559,0.0639,12.27
user_173,140182,2345,762,8075,1035,0.065,12.72
user_174,473525,1746,2384,26913,2545,0.0622,6.88
user_175,159338,3043,1309,12103,975,0.0821,13.76
user_176,185064,2519,1895,12513,1285,0.0746,-0.9
user_177,215020,1996,1108,2781,163,0.0137,-0.08
user_178,624094,3859,352,26820,1173,0.0449,8.15
user_179,925414,2833,1556,35033,3508,0.0416,4.02
user_180,898421,3694,1176,28489,1435,0.0333,5.89
user_181,616270,2550,611,25632,778,0.0429,3.58
user_182,646914,3695,802,23866,479,0.0376,4.88
user_183,120176,2695,559,4838,479,0.0442,11.98
user_184,918710,2399,2802,72163,4840,0.0838,8.09
user_185,219126,1982,1578,3550,418,0.0181,14.95
user_186,219969,3344,1539,16400,1127,0.0797,11.38
user_187,123409,1807,2688,5382,447,0.0472,2.65
user_188,548707,1166,638,29444,2147,0.0576,2.49
user_189,969140,2617,2976,66010,6902,0.0752,3.71
user_190,254618,3549,1853,8970,594,0.0376,12.34
user_191,770598,542,1011,30923,4492,0.046,-1.54
user_192,51015,3356,2166,1972,279,0.0441,1.91
user_193,773838,669,2384,28037,3651,0.0409,13.38
user_194,123096,3282,2190,9205,1285,0.0852,8.88
user_195,632347,3873,2866,43015,3371,0.0734,1.86
user_196,186340,2430,1636,3285,294,0.0192,1.73
user_197,111687,1596,1538,1962,228,0.0196,12.66
user_198,875371,3613,2524,34971,3864,0.0444,13.19
user_199,412357,1655,541,6971,946,0.0192,2.35
user_200,736716,3802,2587,39293,4444,0.0594,5.15
user_201,106878,4725,936,2143,320,0.023,12.19
user_202,728270,1940,736,33912,2214,0.0496,11.11
user_203,974548,1325,2382,10238,1313,0.0119,11.84
user_204,199286,2793,2776,6409,709,0.0357,6.81
user_205,774290,2543,2777,44446,4883,0.0637,13.5
user_206,775684,406,1956,34039,2122,0.0466,3.54
user_207,165899,919,579,13019,1589,0.0881,0.66
user_208,974324,935,988,69359,9505,0.0809,10.05
user_209,325767,2051,2423,11445,554,0.0368,7.17
user_210,862882,1333,1097,11376,1152,0.0145,12.53
user_211,880858,669,909,60949,4326,0.0741,-0.62
user_212,380989,932,812,28111,4178,0.0848,12.34
user_213,416515,846,2332,28091,2310,0.073,2.99
user_214,44585,3692,1001,845,41,0.0199,9.13
user_215,372369,3475,821,29735,2070,0.0854,-1.32
user_216,65044,1346,62,1827,191,0.031,8.36
user_217,961061,4764,1629,58330,1743,0.0625,10.19
user_218,443296,294,2929,32609,3210,0.0808,4.27
user_219,110556,2945,1797,2929,413,0.0302,1.66
user_220,527981,979,369,38847,5071,0.0832,7.14
user_221,882691,569,1587,27949,804,0.0326,12.16
user_222,768595,3262,1149,60218,8980,0.09,3.5
user_223,201235,2459,2979,5974,662,0.033,2.29
user_224,26939,57,2068,2067,84,0.0798,2.74
user_225,967429,2575,1800,13300,287,0.014,14.14
user_226,961445,3473,603,57349,2423,0.0622,4.11
user_227,153906,2069,451,7271,937,0.0533,-1.94
user_228,543335,4640,1952,23608,538,0.0444,11.29
user_229,289249,4332,2120,7417,373,0.0269,9.89
user_230,76766,3717,2587,4559,540,0.0664,0.19
user_231,409923,3721,1368,9574,920,0.0256,14.74
user_232,416192,2851,2214,20268,2467,0.0546,8.34
user_233,569550,135,2050,15792,1847,0.031,6.51
user_234,388261,3165,1209,29854,793,0.0789,4.5
user_235,811208,4282,1182,9737,1324,0.0136,13.28
user_236,686440,2518,2696,16461,815,0.0252,2.15
user_237,653664,3669,318,17623,1620,0.0294,2.86
user_238,985346,1686,1959,38413,3985,0.043,0.08
user_239,455589,3633,808,11977,502,0.0274,10.91
user_240,138848,4059,869,6164,905,0.0509,8.12
user_241,618075,3376,2245,43928,3666,0.077,8.35
user_242,128948,2268,2909,7716,212,0.0615,1.71
user_243,580304,2267,1397,29361,4164,0.0578,9.07
user_244,403690,2419,1197,6551,630,0.0178,11.01
user_245,500046,3688,1969,29292,3248,0.0651,4.08
user_246,452269,2553,897,9791,864,0.0236,11.62
user_247,22959,993,1158,1493,191,0.0733,3.93
user_248,661890,2887,1597,18204,442,0.0282,10.89
user_249,751216,2710,2826,29442,1616,0.0413,-1.43
user_250,906533,2986,2512,31305,2537,0.0373,7.37
user_251,791180,4494,2775,55475,1661,0.0722,14.48
user_252,229576,3997,2669,4329,483,0.021,14.68
user_253,538833,1726,1666,26723,1902,0.0531,2.79
user_254,915091,1246,1923,18250,1011,0.021,5.5
user_255,984703,4155,1402,58428,1194,0.0605,-0.93
user_256,166838,2837,164,12238,1389,0.0817,12.85
user_257,336674,1511,2342,13609,1747,0.0456,7.67
user_258,880989,3368,2576,38910,2776,0.0473,4.55
user_259,62087,716,1222,4651,434,0.0819,-0.08
user_260,594128,2226,2820,27608,1369,0.0488,14.1
user_261,119451,3793,1881,5271,531,0.0486,7.01
user_262,448600,650,1874,22646,488,0.0516,2.81
user_263,838437,2702,2544,48835,4078,0.0631,3.95
user_264,440792,4472,1886,7705,799,0.0193,2.6
user_265,40353,3874,1118,2722,379,0.0768,8.23
user_266,194075,3956,1171,7857,546,0.0433,13.81
user_267,215283,1029,1754,3243,387,0.0169,12.56
user_268,315877,2501,2733,20542,2006,0.0714,5.83
user_269,66318,678,587,2413,339,0.0415,12.05
user_270,766313,1679,1833,13047,936,0.0182,5.19
user_271,483690,3746,550,26295,1616,0.0577,2.29
user_272,417880,3480,2226,29924,4049,0.0813,14.72
user_273,592460,3724,1581,42741,1128,0.074,3.17
user_274,741976,3979,700,57159,2156,0.0799,3.5
user_275,782239,2815,2090,55335,1699,0.0729,14.82
user_276,94264,4419,1090,956,123,0.0114,0.28
user_277,771746,4830,2592,28258,604,0.0374,10.93
user_278,814168,165,748,54791,7233,0.0762,13.91
user_279,226281,2053,1749,8064,634,0.0384,6.7
user_280,638147,742,2211,33252,682,0.0532,-1.96
user_281,899613,3212,687,47177,3406,0.0562,4.38
user_282,395070,1155,1632,14045,621,0.0371,-0.1
user_283,353228,3058,700,25896,2619,0.0807,5.08
user_284,432839,2211,992,19575,2120,0.0501,11.43
user_285,270536,203,2866,11507,959,0.0461,5.46
user_286,318824,3749,2152,25450,643,0.0818,5.34
user_287,258426,4460,2483,11511,1212,0.0492,7.47
user_288,178789,3836,2761,4020,520,0.0254,7.89
user_289,514153,1114,2549,23607,2682,0.0511,12.56
user_290,743452,4250,2523,49797,6368,0.0755,3.24
user_291,838291,1963,846,53969,2486,0.0673,11.97
user_292,126657,1266,316,8258,1119,0.074,7.62
user_293,236167,2451,1273,14066,870,0.0632,3.11
user_294,682669,1822,2747,18974,412,0.0284,3.02
user_295,481671,2010,2445,33883,4392,0.0795,4.14
user_296,720094,2830,2488,52236,7440,0.0829,8.59
user_297,71467,4854,2172,1685,177,0.0261,1.92
user_298,184734,4796,1748,3534,177,0.0201,13.65
user_299,623794,2921,2044,48838,2575,0.0824,7.77
user_300,110751,710,349,7839,632,0.0765,13.64
user_301,382050,2685,2506,27708,3788,0.0824,-1.21
user_302,931192,2379,1175,67088,2646,0.0749,3.82
user_303,812774,4004,1910,38946,4960,0.054,-1.61
user_304,693517,2500,401,38315,2217,0.0584,2.63
user_305,462079,1182,2205,22260,2785,0.0542,12.65
user_306,369452,749,862,5018,700,0.0155,-1.38
user_307,970587,2088,2337,60356,4561,0.0669,5.41
user_308,107081,4697,415,4858,327,0.0484,-0.0
user_309,984237,4550,2980,54467,6769,0.0622,5.09
user_310,614333,4607,2531,27758,2465,0.0492,12.26
user_311,559986,2229,469,24878,2711,0.0493,8.59
user_312,111078,2888,1374,2446,246,0.0242,10.52
user_313,868055,923,2006,25616,1021,0.0307,3.93
user_314,23671,133,1328,499,64,0.0238,14.05
user_315,419400,1472,1317,9938,451,0.0248,10.06
user_316,356528,2725,2087,27847,3931,0.0891,5.17
user_317,960611,3230,2306,19901,1046,0.0218,5.25
user_318,611490,4366,1313,17640,2035,0.0322,13.62
user_319,52663,4025,2485,2703,154,0.0543,7.8
user_320,16708,1441,1869,880,53,0.0558,10.01
user_321,879338,3268,205,18271,1101,0.022,5.09
user_322,312955,4257,1253,20517,2405,0.0732,1.8
user_323,134883,664,1457,8762,809,0.071,10.3
user_324,319394,3021,272,8499,1145,0.0302,8.33
user_325,113547,3615,38,3429,205,0.032,6.52
user_326,990586,3626,2779,74946,8240,0.084,8.61
user_327,911681,4620,1179,61809,7286,0.0758,1.54
user_328,560042,320,242,32956,1308,0.0612,11.5
user_329,752102,4116,22,11850,854,0.0169,14.12
user_330,763002,2518,1279,29969,2480,0.0425,13.15
user_331,143483,1440,873,7052,467,0.0524,3.46
user_332,659271,3404,1508,15241,943,0.0245,4.9
user_333,985774,4185,247,40787,4455,0.0459,11.74
user_334,215835,3657,2980,11238,540,0.0546,8.12
user_335,402896,2633,1697,13261,1488,0.0366,7.31
user_336,85896,4123,518,5554,786,0.0738,13.75
user_337,478095,3125,2588,32907,3076,0.0753,7.11
user_338,72295,3956,2769,2360,234,0.0359,6.75
user_339,744974,339,1905,51184,1482,0.0707,-1.29
user_340,888121,2530,2984,15320,2028,0.0195,-0.82
user_341,274255,3302,2035,18825,1075,0.0726,-1.87
user_342,300648,328,1182,6221,621,0.0228,13.53
user_343,658162,2974,1319,10402,1532,0.0181,4.94
user_344,9155,630,2358,502,48,0.0601,5.97
user_345,467872,303,1096,20135,2299,0.0479,12.37
user_346,826816,4326,734,60814,4736,0.0793,8.36
user_347,375705,4826,967,13308,370,0.0364,8.36
user_348,572542,874,2715,17233,2131,0.0338,3.04
user_349,809350,3882,2751,36462,895,0.0462,12.18
user_350,611269,749,889,25622,2846,0.0466,0.82
user_351,979217,1430,1090,33401,767,0.0349,-1.1
user_352,555594,3946,113,32536,4297,0.0663,1.26
user_353,148718,1723,579,9394,380,0.0657,2.55
user_354,309987,2777,1795,21608,1876,0.0758,2.8
user_355,646263,3206,2280,50473,4927,0.0857,9.4
user_356,359745,3438,455,10312,819,0.0309,1.7
user_357,108512,4357,871,6524,419,0.064,9.5
user_358,148443,433,2575,5581,451,0.0406,-0.45
user_359,471587,391,2903,27067,1637,0.0609,0.5
user_360,374616,2037,2718,16227,1248,0.0466,6.65
user_361,658409,4109,224,52385,3491,0.0849,13.67
user_362,687976,4989,2448,41982,3929,0.0667,12.61
user_363,366871,3159,1119,28129,1432,0.0806,14.47
user_364,376037,4132,96,25738,3822,0.0786,9.06
user_365,808364,4565,835,59174,5036,0.0794,9.49
user_366,118796,2848,787,7960,360,0.07,8.63
user_367,292999,3290,2477,12347,1012,0.0456,8.59
user_368,193506,2038,125,5345,708,0.0313,0.5
user_369,991198,3464,2618,35606,813,0.0367,7.24
user_370,699376,1899,2893,7984,865,0.0127,4.56
user_371,270544,355,2155,12628,1152,0.0509,5.52
user_372,381002,3663,1766,17279,726,0.0473,6.9
user_373,699002,2799,2948,32690,4127,0.0527,0.18
user_374,540439,1185,1485,42252,2871,0.0835,4.11
user_375,969911,255,2607,71581,4165,0.0781,-0.92
user_376,591978,4641,264,12620,1611,0.024,14.65
user_377,529787,3500,2645,18977,1954,0.0395,0.01
user_378,531583,3861,1425,21091,2884,0.0451,2.39
user_379,908317,3672,1001,32006,3260,0.0388,13.15
user_380,389215,3649,2784,25647,2982,0.0736,6.21
user_381,322184,2601,1756,15040,1936,0.0527,0.31
user_382,799615,4358,161,40018,1085,0.0514,4.53
user_383,423515,359,912,29523,3568,0.0781,-0.03
user_384,669234,2758,1411,44447,4435,0.073,1.4
user_385,379480,2041,2419,7306,212,0.0198,-1.12
user_386,33711,321,564,2021,174,0.0651,5.45
user_387,792971,3692,2980,32099,986,0.0417,11.71
user_388,502157,4136,2219,15378,1778,0.0342,7.96
user_389,185423,1872,1489,2503,227,0.0147,8.31
user_390,979771,3323,2720,43215,6221,0.0505,1.41
user_391,517349,4588,782,18045,790,0.0364,3.85
user_392,704714,4399,643,19454,1921,0.0303,12.37
user_393,913495,570,675,53555,2544,0.0614,-0.51
user_394,658917,1026,2517,42081,4200,0.0702,12.58
user_395,825792,3772,2788,22408,2553,0.0302,6.22
user_396,738378,3601,1267,9939,1132,0.015,12.23
user_397,134272,4155,62,9320,1173,0.0781,3.41
user_398,768836,2823,2331,8224,1077,0.0121,3.76
user_399,987001,2602,1046,74615,2241,0.0779,10.78
user_400,703335,2882,1680,37933,2451,0.0574,11.34
user_401,808789,3957,1311,26309,2876,0.0361,1.9
user_402,644409,202,615,17562,1489,0.0296,14.54
user_403,78505,3014,1032,834,37,0.0111,-0.56
user_404,3869,2966,2244,102,9,0.0287,-0.84
user_405,782474,2850,2130,15368,1121,0.0211,8.12
user_406,455351,1802,977,24066,1701,0.0566,10.29
user_407,313252,2660,580,6784,849,0.0244,14.34
user_408,637584,3925,1350,29969,2187,0.0504,4.88
user_409,619467,1154,1332,31783,744,0.0525,-1.57
user_410,91272,2586,1841,2816,77,0.0317,8.25
user_411,39467,4249,1570,491,64,0.0141,2.92
user_412,810760,3904,869,10221,1480,0.0144,5.36
user_413,878844,3544,1298,10409,1139,0.0131,6.3
user_414,481047,1964,2671,29699,2000,0.0659,-0.9
user_415,660347,3122,1553,21303,3025,0.0368,6.26
user_416,59871,1056,1834,3935,417,0.0727,5.25
user_417,940903,456,1761,37844,4910,0.0454,10.11
user_418,129391,216,625,5396,645,0.0467,8.98
user_419,440430,558,2897,20216,1400,0.0491,1.15
user_420,611704,1711,1506,36648,3013,0.0648,1.5
user_421,857703,3714,1314,24997,1104,0.0304,2.27
user_422,831496,3539,765,15391,892,0.0196,1.04
user_423,257687,4908,577,12607,1527,0.0548,9.17
user_424,726451,730,2131,23891,3254,0.0374,14.91
user_425,108450,2574,961,4443,507,0.0456,9.09
user_426,172890,2170,2316,9558,769,0.0597,8.31
user_427,439741,4727,1289,19607,612,0.046,4.97
user_428,282974,4407,959,15116,414,0.0549,3.31
user_429,935933,1413,1630,45012,3090,0.0514,13.49
user_430,401109,1381,2224,24782,1989,0.0667,14.47
user_431,117381,2342,2802,6974,691,0.0653,6.45
user_432,474125,1588,1745,22470,468,0.0484,2.93
user_433,572621,3458,1004,32938,4896,0.0661,11.09
user_434,135508,610,1607,9641,648,0.0759,0.25
user_435,730650,1149,1356,29415,3831,0.0455,11.02
user_436,863645,1953,1894,33590,3007,0.0424,11.92
user_437,400111,224,681,25405,938,0.0658,0.12
user_438,151810,2206,52,7708,953,0.0571,14.61
user_439,293890,2280,1836,4399,493,0.0166,14.75
user_440,574665,4337,2625,41633,3687,0.0789,13.92
user_441,966908,4210,2140,11752,1021,0.0132,6.43
user_442,841477,3970,1909,52497,1646,0.0643,2.18
user_443,361032,1547,2892,22786,2398,0.0698,7.89
user_444,958294,3904,1176,73518,10179,0.0873,5.14
user_445,370599,3221,80,5110,164,0.0142,1.5
user_446,661960,1617,1563,34276,1859,0.0546,5.2
user_447,751020,1201,291,30002,4119,0.0454,9.29
user_448,880611,418,2313,29187,1662,0.035,-0.79
user_449,172836,4996,1219,2821,296,0.018,3.67
user_450,730903,92,2695,36096,3231,0.0538,-1.7
user_451,46714,1957,1826,2033,198,0.0478,10.74
user_452,975339,3540,2772,16891,1250,0.0186,8.89
user_453,628234,2585,2729,33217,1959,0.056,-0.93
user_454,897048,4223,1174,55309,1455,0.0633,14.4
user_455,631271,2923,1145,40217,4695,0.0711,-1.62
user_456,467960,1874,329,34337,4017,0.082,8.03
user_457,712851,1343,1335,27560,2954,0.0428,11.2
user_458,125123,4819,1765,9598,995,0.0847,11.39
user_459,937093,4846,2562,66140,3418,0.0742,-1.42
user_460,306628,4904,357,9430,215,0.0315,13.41
user_461,83989,3436,2646,1776,222,0.0238,13.61
user_462,299356,3022,29,12117,1015,0.0439,7.54
user_463,830957,3972,68,31686,1897,0.0404,6.2
user_464,179274,1042,1530,9017,299,0.052,-1.24
user_465,688995,2436,2690,35026,986,0.0523,7.55
user_466,326352,2290,1364,20396,1332,0.0666,4.96
user_467,821260,1526,750,37525,4676,0.0514,11.14
user_468,412927,3457,814,7159,998,0.0198,4.87
user_469,790852,439,1668,55423,7569,0.0797,9.62
user_470,884184,1049,152,28014,3910,0.0361,-0.28
user_471,132373,4670,2150,10323,1424,0.0887,0.26
user_472,439452,1905,2124,8020,710,0.0199,0.38
user_473,116294,708,395,8963,434,0.0808,-1.23
user_474,460451,2813,2416,7537,932,0.0184,7.2
user_475,972744,3713,290,25459,1216,0.0274,11.5
user_476,649307,1531,1526,8610,471,0.014,8.38
user_477,66726,3781,2178,3960,199,0.0623,7.77
user_478,142564,501,2936,9911,861,0.0756,9.57
user_479,378812,2525,2954,15298,945,0.0429,3.77
user_480,269246,3272,95,20192,808,0.078,4.15
user_481,706696,1587,1976,36268,2862,0.0554,3.34
user_482,119015,3143,1686,6438,860,0.0613,10.11
user_483,741674,932,348,51308,4831,0.0757,0.75
user_484,255079,4458,2189,7850,1053,0.0349,-1.78
user_485,551929,4118,60,19206,873,0.0364,8.14
user_486,690944,4985,1210,50726,2115,0.0765,14.02
user_487,689105,2616,2989,50351,4774,0.08,8.36
user_488,514758,3327,2709,40333,3236,0.0846,11.31
user_489,941597,424,2346,68857,7286,0.0809,9.44
user_490,984609,4596,2830,18624,2296,0.0212,6.46
user_491,366890,3747,2536,24824,2921,0.0756,10.21
user_492,446101,3112,2076,17259,2459,0.0442,12.01
user_493,37631,4740,32,2986,214,0.085,1.82
user_494,767577,3300,943,33051,1547,0.0451,3.71
user_495,73991,4645,2990,3608,330,0.0532,1.8
user_496,5014,4609,1862,236,8,0.0487,5.69
user_497,274237,162,1252,8918,513,0.0344,13.05
user_498,19070,3247,1234,290,13,0.0159,3.87
user_499,823209,2428,672,59843,4281,0.0779,4.37
user_500,57958,1974,1723,3836,132,0.0685,12.63
user_501,83074,189,640,1642,39,0.0202,6.76
user_502,536017,1474,1982,34505,3636,0.0712,7.1
user_503,756073,2999,1665,40683,4041,0.0592,12.63
user_504,177089,3218,2263,6842,766,0.043,6.34
user_505,198392,566,436,5511,583,0.0307,9.59
user_506,159823,2666,683,11216,390,0.0726,-0.54
user_507,631152,937,1798,37246,2154,0.0624,1.04
user_508,394002,3154,1399,19046,701,0.0501,4.87
user_509,734429,99,167,38682,5012,0.0595,6.41
user_510,499863,4001,2065,8185,958,0.0183,14.42
user_511,368654,3610,1408,15916,735,0.0452,14.5
user_512,580036,68,2431,13665,879,0.0251,12.47
user_513,531089,4871,1745,13057,1901,0.0282,3.37
